"PlotVisit","gForbs","gGrass","gHerb","PlotID","Date"
"340.2015-07-06",33.9065819,39.9999,73.9064819,"340","2015-07-06"
"340.2015-08-07",9.9599751,19.4799513,29.4399264,"340","2015-08-07"
"340.2015-09-09",44.9198877,49.9198752,94.8397629,"340","2015-09-09"
"340.2015-09-23",26.799933,22.0399449,48.8398779,"340","2015-09-23"
"344.2014-05-21",17.6399559,78.5864702,96.2264261,"344","2014-05-21"
"344.2014-06-16",50.399874,49.599876,99.99975,"344","2014-06-16"
"344.2014-07-10",8.4933121,48.3198792,56.8131913,"344","2014-07-10"
"344.2014-08-13",29.199927,160.3862657,189.5861927,"344","2014-08-13"
"344.2014-09-03",13344.2733059,38.8399029,13383.1132088,"344","2014-09-03"
"344.2014-09-22",19.9066169,54.933196,74.8398129,"344","2014-09-22"
"344.2015-05-27",139.0529857,29.0265941,168.0795798,"344","2015-05-27"
"344.2015-06-16",38.133238,19.1332855,57.2665235,"344","2015-06-16"
"344.2015-07-06",27.5065979,13363.7399239,13391.2465218,"344","2015-07-06"
"344.2015-08-07",15.9732934,29.3065934,45.2798868,"344","2015-08-07"
"344.2015-09-09",43.3865582,169.33291,212.7194682,"344","2015-09-09"
"344.2015-09-23",26.8265996,29.1732604,55.99986,"344","2015-09-23"
"364.2014-05-26",54.2798643,7.3866482,61.6665125,"364","2014-05-26"
"364.2014-06-16",56.1598596,39.6932341,95.8530937,"364","2014-06-16"
"364.2014-07-09",8.0533132,34.9599126,43.0132258,"364","2014-07-09"
"364.2014-08-18",3.3866582,39.7199007,43.1065589,"364","2014-08-18"
"364.2014-09-03",9.3866432,64.7331715,74.1198147,"364","2014-09-03"
"364.2014-09-22",16.1732929,32.2799193,48.4532122,"364","2014-09-22"
"364.2015-05-26",70.1464913,16.3066259,86.4531172,"364","2015-05-26"
"364.2015-06-17",57.5865227,13.3333,70.9198227,"364","2015-06-17"
"364.2015-07-07",68.3731624,14.3332975,82.7064599,"364","2015-07-07"
"364.2015-08-06",1.3999965,35.1599121,36.5599086,"364","2015-08-06"
"364.2015-09-09",27.3999315,38.2799043,65.6798358,"364","2015-09-09"
"364.2015-09-23",1.1466638,23.2399419,24.3866057,"364","2015-09-23"
"367.2014-05-26",8.9466443,35.0265791,43.9732234,"367","2014-05-26"
"367.2014-06-16",0,69.5731594,69.5731594,"367","2014-06-16"
"367.2014-07-09",2.4133273,124.7596881,127.1730154,"367","2014-07-09"
"367.2014-08-18",12.9999675,32.6799183,45.6798858,"367","2014-08-18"
"367.2014-09-03",32.4265856,26.8799328,59.3065184,"367","2014-09-03"
"367.2014-09-22",34.4532472,32.2932526,66.7464998,"367","2014-09-22"
"367.2015-05-26",72.5464853,6.6133168,79.1598021,"367","2015-05-26"
"367.2015-06-17",87.6397809,6.8399829,94.4797638,"367","2015-06-17"
"367.2015-07-07",63.1731754,41.866562,105.0397374,"367","2015-07-07"
"367.2015-08-06",121.6130293,36.4799088,158.0929381,"367","2015-08-06"
"367.2015-09-09",8.8799778,20.4132823,29.2932601,"367","2015-09-09"
"367.2015-09-23",9.2133103,16.3332925,25.5466028,"367","2015-09-23"
"680.2014-07-09",63.1598421,82.5864602,145.7463023,"680","2014-07-09"
"680.2014-09-04",62.0265116,23.7732739,85.7997855,"680","2014-09-04"
"680.2014-09-23",80.9464643,89.9464418,170.8929061,"680","2014-09-23"
"680.2015-06-01",29.8399254,22.3332775,52.1732029,"680","2015-06-01"
"680.2015-06-17",47.1198822,67.7198307,114.8397129,"680","2015-06-17"
"680.2015-07-02",39.6265676,14.7866297,54.4131973,"680","2015-07-02"
"680.2015-08-07",88.0264466,33.2132503,121.2396969,"680","2015-08-07"
"680.2015-09-09",27.5599311,34.1599146,61.7198457,"680","2015-09-09"
"680.2015-09-23",23.7466073,35.1065789,58.8531862,"680","2015-09-23"
"681.2014-06-23",22.5599436,49.2798768,71.8398204,"681","2014-06-23"
"681.2014-07-10",17.0132908,73.466483,90.4797738,"681","2014-07-10"
"681.2014-09-04",13341.2599801,46.399884,13387.6598641,"681","2014-09-04"
"681.2014-09-23",1.6799958,67.7064974,69.3864932,"681","2014-09-23"
"681.2015-05-28",6.1866512,24.8799378,31.066589,"681","2015-05-28"
"681.2015-06-16",14.1066314,36.533242,50.6398734,"681","2015-06-16"
"681.2015-07-03",22.4799438,33.1065839,55.5865277,"681","2015-07-03"
"681.2015-08-07",10.4133073,33.9599151,44.3732224,"681","2015-08-07"
"681.2015-09-09",7.4933146,32.0132533,39.5065679,"681","2015-09-09"
"681.2015-09-23",10.2133078,72.2798193,82.4931271,"681","2015-09-23"
"682.2015-05-20",5.1333205,49.5865427,54.7198632,"682","2015-05-20"
"682.2015-06-15",2.933326,76.7064749,79.6398009,"682","2015-06-15"
"682.2015-07-02",13.3732999,46.1598846,59.5331845,"682","2015-07-02"
"682.2015-07-15",14.9866292,73.8131488,88.799778,"682","2015-07-15"
"682.2015-09-09",3.3466583,51.7065374,55.0531957,"682","2015-09-09"
"682.2015-09-23",2.266661,79.4798013,81.7464623,"682","2015-09-23"
"686.2015-05-20",7.5066479,44.9732209,52.4798688,"686","2015-05-20"
"686.2015-06-15",15.3066284,47.5332145,62.8398429,"686","2015-06-15"
"686.2015-07-02",7.8399804,82.4264606,90.266441,"686","2015-07-02"
"686.2015-07-15",23.8399404,105.0264041,128.8663445,"686","2015-07-15"
"686.2015-09-09",9.3999765,55.6931941,65.0931706,"686","2015-09-09"
"686.2015-09-23",1.3599966,75.733144,77.0931406,"686","2015-09-23"
